title,text,label
"210.29900,5,25,16707842,1619440805,0,1ddcf540,48391064114954245",歌词是来不及，但是每一个字都在说着来得及。,0
"140.64300,1,25,16777215,1619438322,0,6773b5b1,48389762482438151",原版像在下沉，玲花一开口，感觉从海底浮上来了,0
"196.41600,4,25,16707842,1619427368,0,d5668b2,48384019513475075",这是两位佛，在渡众生啊，这样温柔却这样有力量。,0
"0.00000,4,25,41194,1619349217,0,13efe241,48343046076497925",凤凰传奇 永远的神,0
"71.74300,5,25,16707842,1619325051,0,f520749f,48330375850098693",有种草原呼麦的感觉,0
"227.59300,1,25,16777215,1620923735,0,dbd629e0,49168547007954951",歌词真好,0
"219.92000,1,25,16777215,1620923373,0,b1bb6d6,49168356856561671",来得及,0
"184.62800,1,25,15138834,1620923301,0,6787b85,49168319146098695",上岸！,0
"127.17400,1,25,16777215,1620923288,0,4c946e6a,49168312629198853",希望成都49中的那个男生可以听到这首歌,0
"109.80100,1,25,16777215,1620923253,0,49637023,49168294019072003",快去关注凤凰传奇！！！,0
"9.99100,1,25,16777215,1620922856,0,653355cd,49168086158278661",凤凰传奇是一种温暖的力量,0
"68.33500,1,25,16777215,1620922817,0,67dcaafc,49168065533837315",花朝我放电了,0
"188.92100,1,25,16777215,1620922613,0,541bdd10,49167958486286343",我会上岸的！,0
"59.61500,1,25,52480,1620922430,0,45814e0a,49167862464512005",非常棒，1201.4 W打卡,0
"9.27000,1,25,16777215,1620922420,0,6034e5ff,49167857237884931",每日一刷,0
"116.39900,1,25,16777215,1620922393,0,c835844b,49167843431284739",曾毅这两年发现钱不好赚了,0
"1.90200,1,25,52480,1620922372,0,45814e0a,49167832205754373",真的好棒， 点赞,0
"80.18500,1,25,16777215,1620922363,0,9e5d9351,49167827233406983",这才叫真翻唱，对原唱的另一种解读和升华！！！,0
"224.65900,1,25,16777215,1620922321,0,f2077135,49167805624352773",明天是个好天气！！！,0
"0.95900,1,25,16777215,1620922319,0,1acd5952,49167804366585861",看完一遍，又多了两千播放量,0
"31.29900,1,25,16777215,1620922290,0,c835844b,49167789148078085",舒服了今天,0
"87.88900,1,25,16777215,1620922266,0,473d0910,49167776776978435",春晚好吧,0
"157.69400,1,25,16777215,1620922232,0,ea38f99e,49167758643953671",初级必过！！,0
"164.27900,1,25,16777215,1620922104,0,268bce3f,49167691801427973",上岸,0
